year,month_num,month_name,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_precipitation,actual_precipitation,average_precipitation,city,state,shortcode
2014,1,January,52.29347826086956,40.42391304347826,63.66304347826087,40.01086956521739,62.41304347826087,-5,98,4.76,7.71,9.790000000000001,Charlotte,North Carolina,CLT
2014,7,July,77.74193548387096,67.74193548387096,87.29032258064517,67.96774193548387,89.0,53,104,6.88,4.38,3.68,Charlotte,North Carolina,CLT
2014,8,August,76.58064516129032,66.74193548387096,85.96774193548387,67.25806451612904,87.58064516129032,50,104,5.36,3.74,4.220000000000001,Charlotte,North Carolina,CLT
2014,9,September,72.53333333333333,63.93333333333333,80.66666666666667,60.5,81.26666666666667,38,104,4.84,4.35,3.25,Charlotte,North Carolina,CLT
2015,1,January,40.516129032258064,29.35483870967742,51.25806451612903,29.612903225806452,50.645161290322584,-5,79,3.45,2.8,3.41,Charlotte,North Carolina,CLT
2015,2,February,37.714285714285715,27.071428571428573,47.607142857142854,32.82142857142857,55.0,-5,82,2.91,3.02,3.3200000000000003,Charlotte,North Carolina,CLT
2015,3,March,54.38709677419355,42.193548387096776,66.0,39.354838709677416,63.12903225806452,4,91,4.24,2.19,4.01,Charlotte,North Carolina,CLT
2015,4,April,62.46666666666667,51.96666666666667,72.43333333333334,46.9,71.93333333333334,21,96,3.84,6.14,3.04,Charlotte,North Carolina,CLT
2015,5,May,71.93548387096774,59.41935483870968,83.93548387096774,55.87096774193548,79.0,32,98,4.85,0.32,3.18,Charlotte,North Carolina,CLT
2015,6,June,80.33333333333333,68.4,91.8,64.5,86.03333333333333,45,104,3.78,2.73,3.74,Charlotte,North Carolina,CLT
2014,1,January,66.23913043478261,56.33695652173913,75.66304347826087,52.73913043478261,73.04347826086956,30,108,5.55,4.61,4.03,Los Angeles,California,CQT
2014,7,July,74.87096774193549,65.80645161290323,83.35483870967742,63.67741935483871,83.25806451612904,49,109,0.36,0.0,0.01,Los Angeles,California,CQT
2014,8,August,75.61290322580645,65.7741935483871,84.83870967741936,64.0,84.48387096774194,49,106,2.06,0.04,0.04,Los Angeles,California,CQT
2014,9,September,76.76666666666667,66.86666666666666,86.1,63.166666666666664,83.16666666666667,44,113,3.96,0.01,0.24,Los Angeles,California,CQT
2015,1,January,62.25806451612903,51.193548387096776,72.70967741935483,47.87096774193548,68.0,28,95,5.71,1.09,3.12,Los Angeles,California,CQT
2015,2,February,64.42857142857143,54.0,74.25,49.357142857142854,68.57142857142857,28,95,4.8,0.83,3.8000000000000003,Los Angeles,California,CQT
2015,3,March,68.48387096774194,57.38709677419355,79.06451612903226,51.064516129032256,70.25806451612904,31,99,5.88,0.87,2.43,Los Angeles,California,CQT
2015,4,April,66.13333333333334,55.96666666666667,75.66666666666667,53.56666666666667,72.76666666666667,36,106,2.74,0.13,0.91,Los Angeles,California,CQT
2015,5,May,64.41935483870968,56.83870967741935,71.45161290322581,57.12903225806452,74.45161290322581,40,103,2.02,0.9299999999999999,0.26,Los Angeles,California,CQT
